pool,attacker_key,event_count,total_profit,net_profit
BisonFi,7rtiKSUDLBm59b1SBmD9oajcP8xE64vAGSMbAN5CXy1q,1,0.0,0.0
BisonFi,7vMSQNwtqUSXLL882rrgkKGBWwUdLyY4CSu25y3hFzz2,1,0.0,0.0
BisonFi,82uGui1spthKWZccMYXcKaRrNREN5a1kBUihfq7gL3bs,1,0.0,0.0
BisonFi,888SGnyhGzqQuuWDVL48tn7xJsAEV259mK9V4YEcUn6f,1,0.02,0.018
BisonFi,88S3zQ4RhahQJSMrusV3sxhZXJewo4oQ3ErNTXaN9VgR,1,0.12,0.108
BisonFi,8B56ppYnCceiSiJRPxyxqp9myggQyUAW2D83JAnp8Leb,1,0.0,0.0
BisonFi,8BqPz57R477iHSEwZpryDh8u6PD6fdmzKK6Wn9AjMnK3,1,0.0,0.0
BisonFi,8WkQfv3rC8kFmjsb5aeX5endDXgb2SktdJfNUgv7wjMF,1,0.0,0.0
BisonFi,8esxfrDpo92xawsCLR8fj6YJYVQjeroYhgUpiu4kEb48,1,0.0,0.0
BisonFi,8jtt2EgUvMLnoCamfRwXyMCF37HTrtcr76VL16Btbwro,1,0.0,0.0
BisonFi,8oKVwqA5S2B7g2Li6yqZ4KKghpER8G1vj3bbeg8dFkSw,1,0.11,0.099
BisonFi,8psNvWTrdNTiVRNzAgsou9kETXNJm2SXZyaKuJraVRtf,1,0.0,0.0
BisonFi,8zrxRCK1HjFNGhsvc7NJXfj2ybPxR3p25FhwFmEeyrAe,1,0.01,0.009
BisonFi,92eSno2a7EqaBrj11tqxwaVTyZcwxhRNKCQsznLzDm25,1,0.05,0.045
BisonFi,99WHBf1vR8XQtMsMKFU3JMh6ZihZSVSGDjVtyABbAM9J,1,0.03,0.027
BisonFi,9ALtCwp8AyhEFd4yQEqKAgL9tpkekpsm46bChZcRMibu,1,0.06,0.054
BisonFi,9CXNmcRzZenixwtzAEVA3Jdo3yC6Hscxcpa4R7tQ6tTV,1,0.0,0.0
BisonFi,9TXFVx8N9dPneS3ETRt8KWtUXLRUsz6j6JM3bEXqkR3Z,1,0.32,0.288
BisonFi,9XLcx4qeRMef4S1uMTsyv5Uv8SAXpo8aE9d97NDxYRvL,1,0.0,0.0
BisonFi,9XUWb3unwaGczFkEJAZiQd2xaZmm6NK68G775JEn2kaZ,1,0.03,0.027
BisonFi,9Xr3Ehn7X3cGGyUmTYSq1nd1HXU3CaF6GJbEG3wQ5Up8,1,0.0,0.0
BisonFi,9bq2UPcp2A5jRAGD2FyA5SipKUnMTS1uvGDLhtA5Ek3y,1,0.0,0.0
BisonFi,9osj5ksZcrYVeft5pjN1KUNpuM9xiZpjLPxtiMHG4AT5,1,0.02,0.018
BisonFi,A3vFkGBrj4MRugemEXWdSFztWgBXi9eQPtD3V28Va7WH,1,0.24,0.216
BisonFi,A8A9GoxfmcjY2QAQ8tYS98SqDBF6hUFDmxAKBsLw29sL,1,0.11,0.099
BisonFi,AAAAhimgGTLkft3X2J8F7U9DAaRhxHGzdedhFtAGeTsR,1,0.0,0.0
BisonFi,AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,1,0.31,0.279
BisonFi,AE8635syc7jEWkmRfo97ypBd4TwhuZSyvPTsKF3hAFgb,1,0.02,0.018
BisonFi,AEB9dXBoxkrapNd59Kg29JefMMf3M1WLcNA12XjKSf4R,1,0.05,0.045
BisonFi,AECTMxLqHaSL8QznVZSWp3ozuKjzKfRPTy65ZP2jdvvr,1,0.0,0.0
BisonFi,AG2UQKHngd3p6pTLJjS5Bk1eRVAEJAvNA89f6VmJrQUk,1,0.12,0.108
BisonFi,AMPjMXfmSFgL9TzmybUf96ApU3ex5D5DY7sbr7PXunHL,1,0.0,0.0
BisonFi,ARBx73zSiEhM1fDhX2vzQgWLqNiGXuhDZUuZVEuBwJ1m,1,0.02,0.018
BisonFi,ARBx92tyV8htTbEWCRH22tgje5vUeCkZm9p4y6TjJCjN,1,0.01,0.009
BisonFi,ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,1,0.26,0.234
BisonFi,AVsBvTv1LPnZn8qkJRzLqRtTU9eHzdp2FueRZWtTNmag,1,0.02,0.018
BisonFi,AXKh1U16oJASHC1cktGt9EVtDKHYraktMYDmrDLjL1Ba,1,0.0,0.0
BisonFi,AdbsNFrDfrxL5KtE1o4KV7yTUHsmQLVaBKuVTtfBYUis,1,0.0,0.0
BisonFi,AgmLJBMDCqWynYnQiPCuj9ewsNNsBJXyzoUhD9LJzN51,1,0.02,0.018
BisonFi,AiH2ff9tN2VKwUXVXJawEmAxWkBTZoPPcZGwHUmihjY8,1,0.03,0.027
BisonFi,An1RKaJEH9yV5fxz5TZea5V1Cz4ebcA8JjTeo1sc4zLU,1,0.01,0.009
BisonFi,BCE9ic3dPTAfX1Y7ccLc8ms2UrHV864RGUZjEL9JubJh,1,0.0,0.0
BisonFi,BE4u3LB3xanMfo1xryxwrsjkMBqLay8qVkCjD8NEWFji,1,0.0,0.0
BisonFi,BL1ovZ6YwMCYanq1m8LRKZM7469z6C5AVyg87zZCiz1a,1,0.0,0.0
BisonFi,BS5HSYqW3QrqbXy6sTLUXdCMkGtq1ZC72dmTPrSuGXZ8,1,0.0,0.0
BisonFi,BWB7Ze1zGMEPN2yM3PsHHA9XRXiLhBbuRDet2uBq8YN9,1,0.0,0.0
BisonFi,BWaQQwcdUVwZzEsiTRrzJ48F6woAB6rkBNzvBqMtC5cG,1,0.01,0.009
BisonFi,BmKQgzKN6moxEXievnPzQdRyxZf7wFboE19roqY3xzr8,1,0.0,0.0
BisonFi,BmbwYxVhrCRo2U1CDqjWSWHAiYDM1uwfi4dHzsY9Yr4B,1,0.04,0.036
BisonFi,Bno15y4FkpvwSeioT8G5f4qtjwAV9dA4hDuJRYPYkgzF,1,0.0,0.0
BisonFi,C2bK8HFrL71aLnpyExVoJmqjDPA9tbLMXcBNAkRQnLfQ,1,0.92,0.828
BisonFi,C9u2k7T22tbM7C53wMWZHKqVJ85eiBdrvjCu6gLvMAhe,1,0.11,0.099
BisonFi,CEEXTqHaqbVriXoW4uvdaPShkMaHg9AWnFXLS1nS887C,1,0.0,0.0
BisonFi,CSAZoZZwdoY42hQMVFHK16fkrub4J3cFsSd4wZtQTSLr,1,0.01,0.009
BisonFi,CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,1,0.45,0.405
BisonFi,CcUrRBMqrCuMPVfd6sVTBJhyhBA1dE7qDoJkSy95bbcw,1,0.01,0.009
BisonFi,CmKRBBgJimkZpmv7YbbuJERum83mYGoauX79H2Mn72Xd,1,0.0,0.0
BisonFi,CodeP7hrXAAThQyogRLwdKLJ5iTjDfM4nBrYN2QQVzd,1,0.01,0.009
BisonFi,Cr6vUmtz58dtsyDJX2GKbifgYf7zvwgPt9HyJvwMRLL8,1,0.21,0.189
BisonFi,CrhGJknir1ico1Sg6GeJLRQtq7TSArRmQ3TGAm5PEETc,1,0.01,0.009
BisonFi,Cs1Ko5ZwzkRBZUCjkjQSCLEvtt6oCLcZjk7QTstMC8WU,1,0.01,0.009
BisonFi,CwhHRY1Dys5supiVSru4aSCFaqHbtxb3Xvxm4w6g34DR,1,0.0,0.0
BisonFi,DNeVNvNMdP29KGWqdv3umqFAH9QVg5aw1RLNaKNy1Gow,1,0.03,0.027
BisonFi,DkV8QZdg5GH7Bb5NteLJVYCF2mwBSCFt7AcTnmVvTfeW,1,0.48,0.432
BisonFi,E2MPTDnFPNiCRmbJGKYSYew48NWRGVNfHjoiibFP5VL2,1,0.16,0.144
BisonFi,E5UBNwkEH98qzVsxa5GsL29WzyxGmj5fYKRt4wRvXyYp,1,0.03,0.027
BisonFi,EHJEEbh3RaaPWWE2znJBW7kNXEneYAg5XRrXJ2bQtZZk,1,0.0,0.0
BisonFi,EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,1,0.16,0.144
BisonFi,EQvk37i7dCkXCaCsodruGSJ8H9xJe7jru5T8UianJ4Wa,1,0.0,0.0
BisonFi,EXYq2HaS5nTarjzNHVYfcHbAbbLDJTPYkn1Jb5Q6bGz4,1,0.02,0.018
BisonFi,EqtzBY6bExCJVjKrMPUqLPco9ESKRHz5UWHQMUNJetc4,1,0.0,0.0
BisonFi,F4SNL56UHSZA1Zd4fcFsEePVakc6hyUoiMKrr5i51eta,1,0.0,0.0
BisonFi,F7eGhuoAgn2MJuRs5hn8vxadBnoZidaXyNF51j4DDCSH,1,0.02,0.018
BisonFi,F7p3dFrjRTbtRp8FRF6qHLomXbKRBzpvBLjtQcfcgmNe,1,0.01,0.009
BisonFi,F99R3Yw9FzTbiRdqxfSVsTKvoawdE8Sog7KqNtCaKXvq,1,0.0,0.0
BisonFi,FATEorZGqsxg11TmJVRdX5WZ12bQpdS2Va9L7iHWzcHr,1,0.03,0.027
BisonFi,FAzY5522HMCBk8hAwwPmDebLJphMETRwiQq2rXC2dtQw,1,0.06,0.054
BisonFi,FNnGvV1UP8wKwje8kzE7vW1KZF4tMRB7tajKwSt6of6Z,1,0.0,0.0
BisonFi,FNxD1XcrTzjkYXwSqk7HN1U5fAWJ52mdCw6zBzTnWcyT,1,0.0,0.0
BisonFi,FRyPCpj2qZvUQah2SdWX8vGsuN4VfAjY9aBv9qzEiV3e,1,0.0,0.0
BisonFi,FbgR9632h4rvPciZzCHRGNrEaQM9bC2cGgAikJ8HUfS1,1,0.12,0.108
BisonFi,Frib2fa2gpL11ZxSBwjfQpWmvy7pQbHDdFexrp1zoNk7,1,0.0,0.0
BisonFi,GBU3X8mgT7dVQ1XxEQxdUMuEJDzTL88bCZgDB8qQvq34,1,0.01,0.009
BisonFi,GJvewfRjqTUPtx6WsBSUnaFbdgXwgXnWfpDyLm65T4YA,1,0.08,0.072
BisonFi,GTR1mWsjtaqb6ukHFizKt46nJUCV4qbkGze5NEMrSTiT,1,0.02,0.018
BisonFi,GVEzzj9ffwFtQSvuzrKcduPhBuHkWiEytMye94HjfjBq,1,0.01,0.009
BisonFi,GVYEvQGTjRkJh24xuSAud1jCLLGNQMFB8Rzb5hJMcyhd,1,0.0,0.0
BisonFi,GWEddPLAUPLQrmVjywKUuHtkiwkXEzpy7y2wH9wX2Pz2,1,0.0,0.0
BisonFi,GraZ9wjJVEGMQsyz3BwkkRdkJFmDrZw6Bnj3yzciwFEC,1,0.07,0.063
BisonFi,H17btiMiGR1rBNMRm7xecNPiWhpEf1K3FVQa9Hva5cz4,1,0.0,0.0
BisonFi,H4gHARvE6zv8bRK9dA4gVnMkxQzCZNth79hozat1yprW,1,0.0,0.0
BisonFi,HAqLFj9PZ1F5hEbcfLqhGq7F9a3PnKdAg1yr1kZMaSja,1,0.0,0.0
BisonFi,HkY8UaajuRDLJVDUA292FZGRBZKxf9CzYrUZLH2WrY1Q,1,0.04,0.036
BisonFi,Hr1oNgqznfMSx3KDdnsSJWU6LemHZqMZ1r4i81hyLYDN,1,0.05,0.045
BisonFi,HydraXoSz7oE3774DoWQQaofKb31Kbn2cbcqG4ShKy85,1,0.02,0.018
BisonFi,J1CMrMaFHJmG97R7xJYrJxRA3MNt7VyHe8CAEUnsQzre,1,0.17,0.153
BisonFi,J3msQsGuDsyydLUzokVeQpL9PLRofRiLREDrLZqMAgSH,1,0.0,0.0
BisonFi,J8hVkBNKobntWqLspa3yhXEkvb8vZ9S9NiHgirN9yvV3,1,0.36,0.324
BisonFi,JA6br2dFCkmKuiKXCsw5pinx5FrYHqR8eNCMydBp4Qr5,1,0.0,0.0
BisonFi,NcLasxSu3sq921FhBniNniiQVzjSVcQk56nB26WTqG7,1,0.04,0.036
BisonFi,PZnEAXQs8JHjLuGPywZYAzSUqgfs5LjLmV6uh6eByWY,1,0.02,0.018
BisonFi,TAPNDP5dFr9Vp47DFuddRxNVYmjUqgh8boiUrWFgMqi,1,0.18,0.162
BisonFi,V7HFZ2fQa4PrauTRjek3Gz1he2wCFCXctuzU7LwmXBT,1,0.0,0.0
BisonFi,V9MELpz59x9WfUG79KCWeMGL1YV2dAVpmKYAWmNUL3R,1,0.02,0.018
BisonFi,YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,1,2.31,2.079
BisonFi,YubVwWeg1vHFr17Q7HQQETcke7sFvMabqU8wbv8NXQW,1,0.12,0.108
BisonFi,YubozzSnKomEnH3pkmYsdatUUwUTcm7s4mHJVmefEWj,1,0.02,0.018
BisonFi,avqJiqdwHCWGMaDpEUnwZ8iFutj5rzP4sPez9yYyGZL,1,0.0,0.0
BisonFi,b23Ke4utbwr1WcY8onbybJbNQghkNs7RrEC9f69VbJW,1,0.06,0.054
BisonFi,datouWbnKthiYdWN3K2kypTs5YoykXSekSQVmDPoeo6,1,0.03,0.027
BisonFi,enzog436vHy38bMhNR9XDENrvhxPK7y8wBQri852rhG,1,0.32,0.288
BisonFi,foxMFk9faHggM4HWQWETCPSDvMbWx8LSv4c9CrkmBx6,1,0.55,0.495
BisonFi,gasAx5Y917MYdmdnwiomwYDhmDKNGDJnN1MmEbxVdVw,1,0.0,0.0
BisonFi,gasTzr94Pmp4Gf8vknQnqxeYxdgwFjbgdJa4msYRpnB,1,0.0,0.0
BisonFi,ggEzRKFZz4V7wU6mizcUrMqHNB5ptQsLT7sxRkyoe4e,1,0.06,0.054
BisonFi,gtagyESa99t49VmUqnnfsuowYnigSNKuYXdXWyXWNdd,1,0.01,0.009
BisonFi,han5oo9sy98473nuWU7PwkdgpJVFvQEQ14S5CCdbeYQ,1,0.35,0.315
BisonFi,j1oeQoPeuEDmjvyMwBmCWexzCQup77kbKKxV59CnYbd,1,0.01,0.009
BisonFi,jMjhRzuVvkeKxDQDoLJJgcgc3brmBRPzizgJxZANAUU,1,0.04,0.036
BisonFi,k1bWgJv1fdVMCqgDM2jkEfhEzKW7XgGpj8vGGKjgSnJ,1,0.1,0.09
BisonFi,k2btrGEvdgv7UmgVbD7Phci9EGWCo9QPU6T7yga9xs9,1,0.1,0.09
BisonFi,k3bS5WfZ5P2NTgkVSwdbVrveYc25iXiEHYfZfVruBGq,1,0.04,0.036
BisonFi,o721S2ZPSjJTEC9B5HgXdqZFPVq1avjKzRfZpTKjV9g,1,0.04,0.036
BisonFi,rvj7Dc3xGh1eVFw9UTRpkxks9cdYyJd4MQk4Bk9zA9b,1,0.04,0.036
BisonFi,theo9SfM3dKgKFbq4kFVmEXwSQ1pdr61wDqEWXKJpYs,1,0.17,0.153
BisonFi,xUwUxxg5eLEVfowp1ki2we8JWJjukkriVLY39c55nqa,1,0.04,0.036
