signer,pool,total_profit,attack_count
AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,GoonFi,0.207,1
AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,ZeroFi,0.198,1
AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,SolFiV2,0.117,1
AE862TWQFAU6SCu7X5asMEB4ZQwvWZesnc8dVxhkqhL1,HumidiFi,0.036,1
AE8635syc7jEWkmRfo97ypBd4TwhuZSyvPTsKF3hAFgb,HumidiFi,0.063,1
AE8635syc7jEWkmRfo97ypBd4TwhuZSyvPTsKF3hAFgb,BisonFi,0.018,1
AE8635syc7jEWkmRfo97ypBd4TwhuZSyvPTsKF3hAFgb,GoonFi,0.009,1
AE8635syc7jEWkmRfo97ypBd4TwhuZSyvPTsKF3hAFgb,TesseraV,0.009,1
AEB9dXBoxkrapNd59Kg29JefMMf3M1WLcNA12XjKSf4R,HumidiFi,3.888,1
AEB9dXBoxkrapNd59Kg29JefMMf3M1WLcNA12XjKSf4R,TesseraV,0.108,1
AEB9dXBoxkrapNd59Kg29JefMMf3M1WLcNA12XjKSf4R,BisonFi,0.045,1
AEB9dXBoxkrapNd59Kg29JefMMf3M1WLcNA12XjKSf4R,SolFiV2,0.036,1
AEB9dXBoxkrapNd59Kg29JefMMf3M1WLcNA12XjKSf4R,GoonFi,0.018,1
AECTMxLqHaSL8QznVZSWp3ozuKjzKfRPTy65ZP2jdvvr,GoonFi,0.054,1
AECTMxLqHaSL8QznVZSWp3ozuKjzKfRPTy65ZP2jdvvr,HumidiFi,0.045,1
AECTMxLqHaSL8QznVZSWp3ozuKjzKfRPTy65ZP2jdvvr,SolFiV2,0.009,1
AG2UQKHngd3p6pTLJjS5Bk1eRVAEJAvNA89f6VmJrQUk,HumidiFi,0.558,1
AG2UQKHngd3p6pTLJjS5Bk1eRVAEJAvNA89f6VmJrQUk,TesseraV,0.207,1
AG2UQKHngd3p6pTLJjS5Bk1eRVAEJAvNA89f6VmJrQUk,BisonFi,0.108,1
AG2UQKHngd3p6pTLJjS5Bk1eRVAEJAvNA89f6VmJrQUk,GoonFi,0.072,1
AG2UQKHngd3p6pTLJjS5Bk1eRVAEJAvNA89f6VmJrQUk,SolFiV2,0.036,1
ARBx73zSiEhM1fDhX2vzQgWLqNiGXuhDZUuZVEuBwJ1m,BisonFi,0.018,1
ARBx73zSiEhM1fDhX2vzQgWLqNiGXuhDZUuZVEuBwJ1m,HumidiFi,0.009,1
ARBx92tyV8htTbEWCRH22tgje5vUeCkZm9p4y6TjJCjN,HumidiFi,0.018,1
ARBx92tyV8htTbEWCRH22tgje5vUeCkZm9p4y6TjJCjN,BisonFi,0.009,1
ARBx92tyV8htTbEWCRH22tgje5vUeCkZm9p4y6TjJCjN,GoonFi,0.009,1
ARBx92tyV8htTbEWCRH22tgje5vUeCkZm9p4y6TjJCjN,SolFiV2,0.009,1
ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,HumidiFi,1.773,1
ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,BisonFi,0.234,1
ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,SolFiV2,0.072,1
ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,ObricV2,0.027,1
ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,GoonFi,0.009,1
ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,TesseraV,0.009,1
ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,ZeroFi,0.009,1
AVsBvTv1LPnZn8qkJRzLqRtTU9eHzdp2FueRZWtTNmag,HumidiFi,0.135,1
AVsBvTv1LPnZn8qkJRzLqRtTU9eHzdp2FueRZWtTNmag,GoonFi,0.054,1
AVsBvTv1LPnZn8qkJRzLqRtTU9eHzdp2FueRZWtTNmag,TesseraV,0.027,1
AVsBvTv1LPnZn8qkJRzLqRtTU9eHzdp2FueRZWtTNmag,BisonFi,0.018,1
AVsBvTv1LPnZn8qkJRzLqRtTU9eHzdp2FueRZWtTNmag,SolFiV2,0.009,1
AVsBvTv1LPnZn8qkJRzLqRtTU9eHzdp2FueRZWtTNmag,ZeroFi,0.009,1
AgmLJBMDCqWynYnQiPCuj9ewsNNsBJXyzoUhD9LJzN51,HumidiFi,0.27,1
AgmLJBMDCqWynYnQiPCuj9ewsNNsBJXyzoUhD9LJzN51,SolFiV2,0.045,1
AgmLJBMDCqWynYnQiPCuj9ewsNNsBJXyzoUhD9LJzN51,TesseraV,0.036,1
AgmLJBMDCqWynYnQiPCuj9ewsNNsBJXyzoUhD9LJzN51,BisonFi,0.018,1
AgmLJBMDCqWynYnQiPCuj9ewsNNsBJXyzoUhD9LJzN51,GoonFi,0.018,1
AgmLJBMDCqWynYnQiPCuj9ewsNNsBJXyzoUhD9LJzN51,ZeroFi,0.018,1
AiH2ff9tN2VKwUXVXJawEmAxWkBTZoPPcZGwHUmihjY8,HumidiFi,0.315,1
AiH2ff9tN2VKwUXVXJawEmAxWkBTZoPPcZGwHUmihjY8,TesseraV,0.09,1
AiH2ff9tN2VKwUXVXJawEmAxWkBTZoPPcZGwHUmihjY8,GoonFi,0.036,1
AiH2ff9tN2VKwUXVXJawEmAxWkBTZoPPcZGwHUmihjY8,BisonFi,0.027,1
AiH2ff9tN2VKwUXVXJawEmAxWkBTZoPPcZGwHUmihjY8,SolFiV2,0.027,1
An1RKaJEH9yV5fxz5TZea5V1Cz4ebcA8JjTeo1sc4zLU,HumidiFi,0.099,1
An1RKaJEH9yV5fxz5TZea5V1Cz4ebcA8JjTeo1sc4zLU,GoonFi,0.018,1
An1RKaJEH9yV5fxz5TZea5V1Cz4ebcA8JjTeo1sc4zLU,BisonFi,0.009,1
An1RKaJEH9yV5fxz5TZea5V1Cz4ebcA8JjTeo1sc4zLU,SolFiV2,0.009,1
AnYREiiPFqVgW2tZzNFEz66RWAwfQBFtquVLDrzXNx9A,HumidiFi,0.135,1
AnYREiiPFqVgW2tZzNFEz66RWAwfQBFtquVLDrzXNx9A,TesseraV,0.009,1
BCE9ic3dPTAfX1Y7ccLc8ms2UrHV864RGUZjEL9JubJh,HumidiFi,0.009,1
BCE9ic3dPTAfX1Y7ccLc8ms2UrHV864RGUZjEL9JubJh,SolFiV2,0.009,1
BWaQQwcdUVwZzEsiTRrzJ48F6woAB6rkBNzvBqMtC5cG,HumidiFi,0.045,1
BWaQQwcdUVwZzEsiTRrzJ48F6woAB6rkBNzvBqMtC5cG,BisonFi,0.009,1
BWaQQwcdUVwZzEsiTRrzJ48F6woAB6rkBNzvBqMtC5cG,GoonFi,0.009,1
BWaQQwcdUVwZzEsiTRrzJ48F6woAB6rkBNzvBqMtC5cG,ZeroFi,0.009,1
BmbwYxVhrCRo2U1CDqjWSWHAiYDM1uwfi4dHzsY9Yr4B,HumidiFi,0.1619999999999999,1
BmbwYxVhrCRo2U1CDqjWSWHAiYDM1uwfi4dHzsY9Yr4B,GoonFi,0.09,1
BmbwYxVhrCRo2U1CDqjWSWHAiYDM1uwfi4dHzsY9Yr4B,SolFiV2,0.09,1
BmbwYxVhrCRo2U1CDqjWSWHAiYDM1uwfi4dHzsY9Yr4B,BisonFi,0.036,1
BmbwYxVhrCRo2U1CDqjWSWHAiYDM1uwfi4dHzsY9Yr4B,TesseraV,0.009,1
ByiM8skpM4BrYnhfZX21w23Wt2KMU686daG8uDuNUmU4,HumidiFi,0.009,1
C2bK8HFrL71aLnpyExVoJmqjDPA9tbLMXcBNAkRQnLfQ,HumidiFi,1.359,1
C2bK8HFrL71aLnpyExVoJmqjDPA9tbLMXcBNAkRQnLfQ,BisonFi,0.8280000000000001,1
C2bK8HFrL71aLnpyExVoJmqjDPA9tbLMXcBNAkRQnLfQ,TesseraV,0.054,1
C2bK8HFrL71aLnpyExVoJmqjDPA9tbLMXcBNAkRQnLfQ,SolFiV2,0.045,1
C2bK8HFrL71aLnpyExVoJmqjDPA9tbLMXcBNAkRQnLfQ,GoonFi,0.036,1
C2bK8HFrL71aLnpyExVoJmqjDPA9tbLMXcBNAkRQnLfQ,ZeroFi,0.018,1
C9u2k7T22tbM7C53wMWZHKqVJ85eiBdrvjCu6gLvMAhe,HumidiFi,0.144,1
C9u2k7T22tbM7C53wMWZHKqVJ85eiBdrvjCu6gLvMAhe,BisonFi,0.099,1
C9u2k7T22tbM7C53wMWZHKqVJ85eiBdrvjCu6gLvMAhe,SolFiV2,0.063,1
C9u2k7T22tbM7C53wMWZHKqVJ85eiBdrvjCu6gLvMAhe,GoonFi,0.036,1
C9u2k7T22tbM7C53wMWZHKqVJ85eiBdrvjCu6gLvMAhe,TesseraV,0.018,1
CEEXTqHaqbVriXoW4uvdaPShkMaHg9AWnFXLS1nS887C,HumidiFi,0.036,1
CM8PB1jB4fbUCGRxRRCyVuF9cn3MHA78zsuEeTVg6RqF,SolFiV2,0.009,1
CSAZoZZwdoY42hQMVFHK16fkrub4J3cFsSd4wZtQTSLr,BisonFi,0.009,1
CSAZoZZwdoY42hQMVFHK16fkrub4J3cFsSd4wZtQTSLr,GoonFi,0.009,1
CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,HumidiFi,2.6910000000000003,1
CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,BisonFi,0.405,1
CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,GoonFi,0.117,1
CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,TesseraV,0.108,1
CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,SolFiV2,0.072,1
CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,ZeroFi,0.045,1
CcUrRBMqrCuMPVfd6sVTBJhyhBA1dE7qDoJkSy95bbcw,HumidiFi,0.054,1
CcUrRBMqrCuMPVfd6sVTBJhyhBA1dE7qDoJkSy95bbcw,BisonFi,0.009,1
CcUrRBMqrCuMPVfd6sVTBJhyhBA1dE7qDoJkSy95bbcw,SolFiV2,0.009,1
CcUrRBMqrCuMPVfd6sVTBJhyhBA1dE7qDoJkSy95bbcw,TesseraV,0.009,1
CgeCCF1khuPwtXrd9NYXLa1pNEhQVecePfHHHU38REQJ,HumidiFi,0.009,1
CodeP7hrXAAThQyogRLwdKLJ5iTjDfM4nBrYN2QQVzd,HumidiFi,0.027,1
CodeP7hrXAAThQyogRLwdKLJ5iTjDfM4nBrYN2QQVzd,TesseraV,0.018,1
CodeP7hrXAAThQyogRLwdKLJ5iTjDfM4nBrYN2QQVzd,ZeroFi,0.018,1
CodeP7hrXAAThQyogRLwdKLJ5iTjDfM4nBrYN2QQVzd,BisonFi,0.009,1
Cr6vUmtz58dtsyDJX2GKbifgYf7zvwgPt9HyJvwMRLL8,HumidiFi,1.071,1
Cr6vUmtz58dtsyDJX2GKbifgYf7zvwgPt9HyJvwMRLL8,BisonFi,0.189,1
Cr6vUmtz58dtsyDJX2GKbifgYf7zvwgPt9HyJvwMRLL8,ZeroFi,0.054,1
Cr6vUmtz58dtsyDJX2GKbifgYf7zvwgPt9HyJvwMRLL8,SolFiV2,0.045,1
Cr6vUmtz58dtsyDJX2GKbifgYf7zvwgPt9HyJvwMRLL8,GoonFi,0.036,1
Cr6vUmtz58dtsyDJX2GKbifgYf7zvwgPt9HyJvwMRLL8,TesseraV,0.036,1
CrhGJknir1ico1Sg6GeJLRQtq7TSArRmQ3TGAm5PEETc,HumidiFi,0.054,1
CrhGJknir1ico1Sg6GeJLRQtq7TSArRmQ3TGAm5PEETc,ZeroFi,0.054,1
CrhGJknir1ico1Sg6GeJLRQtq7TSArRmQ3TGAm5PEETc,SolFiV2,0.045,1
CrhGJknir1ico1Sg6GeJLRQtq7TSArRmQ3TGAm5PEETc,BisonFi,0.009,1
Cs1Ko5ZwzkRBZUCjkjQSCLEvtt6oCLcZjk7QTstMC8WU,HumidiFi,0.09,1
Cs1Ko5ZwzkRBZUCjkjQSCLEvtt6oCLcZjk7QTstMC8WU,GoonFi,0.045,1
Cs1Ko5ZwzkRBZUCjkjQSCLEvtt6oCLcZjk7QTstMC8WU,BisonFi,0.009,1
Cs1Ko5ZwzkRBZUCjkjQSCLEvtt6oCLcZjk7QTstMC8WU,SolFiV2,0.009,1
CsjuX7oiUZf3sRp2kt6jUPCW3PcPpEyXAKvjnyipQjPC,HumidiFi,0.009,1
CwhHRY1Dys5supiVSru4aSCFaqHbtxb3Xvxm4w6g34DR,HumidiFi,1.026,1
CwhHRY1Dys5supiVSru4aSCFaqHbtxb3Xvxm4w6g34DR,TesseraV,0.225,1
CwhHRY1Dys5supiVSru4aSCFaqHbtxb3Xvxm4w6g34DR,SolFiV2,0.018,1
CwhHRY1Dys5supiVSru4aSCFaqHbtxb3Xvxm4w6g34DR,GoonFi,0.009,1
DJocqRPK2uKWvmR5WnWcd7m8fDw6az1L54R4UuH3GrGN,HumidiFi,0.018,1
DNYdyjVsc8QGY2P6Qt9KfkHVjwTEZb6ukZ56rkBdDjDe,HumidiFi,0.009,1
DNeVNvNMdP29KGWqdv3umqFAH9QVg5aw1RLNaKNy1Gow,HumidiFi,0.18,1
DNeVNvNMdP29KGWqdv3umqFAH9QVg5aw1RLNaKNy1Gow,BisonFi,0.027,1
DNeVNvNMdP29KGWqdv3umqFAH9QVg5aw1RLNaKNy1Gow,GoonFi,0.027,1
DNeVNvNMdP29KGWqdv3umqFAH9QVg5aw1RLNaKNy1Gow,TesseraV,0.009,1
DUvvMdjQoZxRcJJmfs1F9VLgyqiW1HC8cfximJmTCA9Y,ZeroFi,0.009,1
DkV8QZdg5GH7Bb5NteLJVYCF2mwBSCFt7AcTnmVvTfeW,HumidiFi,0.495,1
DkV8QZdg5GH7Bb5NteLJVYCF2mwBSCFt7AcTnmVvTfeW,BisonFi,0.432,1
DkV8QZdg5GH7Bb5NteLJVYCF2mwBSCFt7AcTnmVvTfeW,TesseraV,0.018,1
DkV8QZdg5GH7Bb5NteLJVYCF2mwBSCFt7AcTnmVvTfeW,GoonFi,0.009,1
DkV8QZdg5GH7Bb5NteLJVYCF2mwBSCFt7AcTnmVvTfeW,SolFiV2,0.009,1
Dog1YVcGCdTYNpRpwUdod7zAGjztVL1ZeHAVYaYD1h5Q,HumidiFi,0.063,1
Dog1YVcGCdTYNpRpwUdod7zAGjztVL1ZeHAVYaYD1h5Q,GoonFi,0.009,1
Dog1YVcGCdTYNpRpwUdod7zAGjztVL1ZeHAVYaYD1h5Q,TesseraV,0.009,1
E2MPTDnFPNiCRmbJGKYSYew48NWRGVNfHjoiibFP5VL2,SolFiV2,1.818,1
E2MPTDnFPNiCRmbJGKYSYew48NWRGVNfHjoiibFP5VL2,HumidiFi,1.125,1
E2MPTDnFPNiCRmbJGKYSYew48NWRGVNfHjoiibFP5VL2,GoonFi,0.459,1
E2MPTDnFPNiCRmbJGKYSYew48NWRGVNfHjoiibFP5VL2,ZeroFi,0.279,1
E2MPTDnFPNiCRmbJGKYSYew48NWRGVNfHjoiibFP5VL2,TesseraV,0.153,1
E2MPTDnFPNiCRmbJGKYSYew48NWRGVNfHjoiibFP5VL2,BisonFi,0.144,1
E5UBNwkEH98qzVsxa5GsL29WzyxGmj5fYKRt4wRvXyYp,GoonFi,0.126,1
E5UBNwkEH98qzVsxa5GsL29WzyxGmj5fYKRt4wRvXyYp,HumidiFi,0.117,1
E5UBNwkEH98qzVsxa5GsL29WzyxGmj5fYKRt4wRvXyYp,BisonFi,0.027,1
E5UBNwkEH98qzVsxa5GsL29WzyxGmj5fYKRt4wRvXyYp,SolFiV2,0.018,1
E5UBNwkEH98qzVsxa5GsL29WzyxGmj5fYKRt4wRvXyYp,TesseraV,0.009,1
EFw7G7rKEagCcq3aQ63yb6Zw8AE8qfq1Wwavm2gcF3hv,HumidiFi,0.009,1
EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,HumidiFi,1.143,1
EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,GoonFi,0.432,1
EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,TesseraV,0.27,1
EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,BisonFi,0.144,1
EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,SolFiV2,0.0809999999999999,1
EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,ZeroFi,0.018,1
EQvk37i7dCkXCaCsodruGSJ8H9xJe7jru5T8UianJ4Wa,HumidiFi,0.009,1
EXYq2HaS5nTarjzNHVYfcHbAbbLDJTPYkn1Jb5Q6bGz4,HumidiFi,0.243,1
EXYq2HaS5nTarjzNHVYfcHbAbbLDJTPYkn1Jb5Q6bGz4,GoonFi,0.045,1
EXYq2HaS5nTarjzNHVYfcHbAbbLDJTPYkn1Jb5Q6bGz4,SolFiV2,0.027,1
EXYq2HaS5nTarjzNHVYfcHbAbbLDJTPYkn1Jb5Q6bGz4,BisonFi,0.018,1
EXYq2HaS5nTarjzNHVYfcHbAbbLDJTPYkn1Jb5Q6bGz4,TesseraV,0.009,1
F2ABsg5J6Jp8wtJVd4bUDAPUigKyf9VzNcRyABUAWXZV,HumidiFi,0.009,1
F2ABsg5J6Jp8wtJVd4bUDAPUigKyf9VzNcRyABUAWXZV,SolFiV2,0.009,1
F7eGhuoAgn2MJuRs5hn8vxadBnoZidaXyNF51j4DDCSH,BisonFi,0.018,1
F7eGhuoAgn2MJuRs5hn8vxadBnoZidaXyNF51j4DDCSH,HumidiFi,0.018,1
F7p3dFrjRTbtRp8FRF6qHLomXbKRBzpvBLjtQcfcgmNe,HumidiFi,0.279,1
F7p3dFrjRTbtRp8FRF6qHLomXbKRBzpvBLjtQcfcgmNe,GoonFi,0.036,1
F7p3dFrjRTbtRp8FRF6qHLomXbKRBzpvBLjtQcfcgmNe,SolFiV2,0.036,1
F7p3dFrjRTbtRp8FRF6qHLomXbKRBzpvBLjtQcfcgmNe,TesseraV,0.027,1
F7p3dFrjRTbtRp8FRF6qHLomXbKRBzpvBLjtQcfcgmNe,BisonFi,0.009,1
FATEorZGqsxg11TmJVRdX5WZ12bQpdS2Va9L7iHWzcHr,HumidiFi,0.342,1
FATEorZGqsxg11TmJVRdX5WZ12bQpdS2Va9L7iHWzcHr,BisonFi,0.027,1
FATEorZGqsxg11TmJVRdX5WZ12bQpdS2Va9L7iHWzcHr,GoonFi,0.018,1
FATEorZGqsxg11TmJVRdX5WZ12bQpdS2Va9L7iHWzcHr,ZeroFi,0.009,1
FAzY5522HMCBk8hAwwPmDebLJphMETRwiQq2rXC2dtQw,SolFiV2,0.369,1
FAzY5522HMCBk8hAwwPmDebLJphMETRwiQq2rXC2dtQw,HumidiFi,0.252,1
FAzY5522HMCBk8hAwwPmDebLJphMETRwiQq2rXC2dtQw,ZeroFi,0.171,1
FAzY5522HMCBk8hAwwPmDebLJphMETRwiQq2rXC2dtQw,GoonFi,0.135,1
FAzY5522HMCBk8hAwwPmDebLJphMETRwiQq2rXC2dtQw,BisonFi,0.054,1
FAzY5522HMCBk8hAwwPmDebLJphMETRwiQq2rXC2dtQw,TesseraV,0.036,1
FbgR9632h4rvPciZzCHRGNrEaQM9bC2cGgAikJ8HUfS1,GoonFi,0.6479999999999999,1
FbgR9632h4rvPciZzCHRGNrEaQM9bC2cGgAikJ8HUfS1,HumidiFi,0.6479999999999999,1
FbgR9632h4rvPciZzCHRGNrEaQM9bC2cGgAikJ8HUfS1,SolFiV2,0.6300000000000001,1
FbgR9632h4rvPciZzCHRGNrEaQM9bC2cGgAikJ8HUfS1,BisonFi,0.108,1
FbgR9632h4rvPciZzCHRGNrEaQM9bC2cGgAikJ8HUfS1,TesseraV,0.108,1
FbgR9632h4rvPciZzCHRGNrEaQM9bC2cGgAikJ8HUfS1,ZeroFi,0.045,1
G5HwqJo7yCKc1FDUFYKKS4X6fDohrXbvgq2tzX8do1Kz,HumidiFi,0.117,1
GBU3X8mgT7dVQ1XxEQxdUMuEJDzTL88bCZgDB8qQvq34,HumidiFi,0.216,1
GBU3X8mgT7dVQ1XxEQxdUMuEJDzTL88bCZgDB8qQvq34,TesseraV,0.108,1
GBU3X8mgT7dVQ1XxEQxdUMuEJDzTL88bCZgDB8qQvq34,BisonFi,0.009,1
GBU3X8mgT7dVQ1XxEQxdUMuEJDzTL88bCZgDB8qQvq34,GoonFi,0.009,1
GBU3X8mgT7dVQ1XxEQxdUMuEJDzTL88bCZgDB8qQvq34,SolFiV2,0.009,1
GJvewfRjqTUPtx6WsBSUnaFbdgXwgXnWfpDyLm65T4YA,TesseraV,0.198,1
GJvewfRjqTUPtx6WsBSUnaFbdgXwgXnWfpDyLm65T4YA,BisonFi,0.072,1
GJvewfRjqTUPtx6WsBSUnaFbdgXwgXnWfpDyLm65T4YA,HumidiFi,0.072,1
GJvewfRjqTUPtx6WsBSUnaFbdgXwgXnWfpDyLm65T4YA,SolFiV2,0.018,1
GTR1mWsjtaqb6ukHFizKt46nJUCV4qbkGze5NEMrSTiT,HumidiFi,0.036,1
GTR1mWsjtaqb6ukHFizKt46nJUCV4qbkGze5NEMrSTiT,TesseraV,0.027,1
GTR1mWsjtaqb6ukHFizKt46nJUCV4qbkGze5NEMrSTiT,BisonFi,0.018,1
GTR1mWsjtaqb6ukHFizKt46nJUCV4qbkGze5NEMrSTiT,GoonFi,0.009,1
GVEzzj9ffwFtQSvuzrKcduPhBuHkWiEytMye94HjfjBq,BisonFi,0.009,1
GVEzzj9ffwFtQSvuzrKcduPhBuHkWiEytMye94HjfjBq,HumidiFi,0.009,1
GVEzzj9ffwFtQSvuzrKcduPhBuHkWiEytMye94HjfjBq,TesseraV,0.009,1
GVYEvQGTjRkJh24xuSAud1jCLLGNQMFB8Rzb5hJMcyhd,HumidiFi,0.063,1
GnWFhrfgciKVoqgAqarwWEQ79NuD2LnRd9EEYaB1kUoc,GoonFi,0.009,1
GnWFhrfgciKVoqgAqarwWEQ79NuD2LnRd9EEYaB1kUoc,HumidiFi,0.009,1
GraZ9wjJVEGMQsyz3BwkkRdkJFmDrZw6Bnj3yzciwFEC,SolFiV2,0.459,1
GraZ9wjJVEGMQsyz3BwkkRdkJFmDrZw6Bnj3yzciwFEC,HumidiFi,0.243,1
GraZ9wjJVEGMQsyz3BwkkRdkJFmDrZw6Bnj3yzciwFEC,GoonFi,0.207,1
GraZ9wjJVEGMQsyz3BwkkRdkJFmDrZw6Bnj3yzciwFEC,ZeroFi,0.135,1
GraZ9wjJVEGMQsyz3BwkkRdkJFmDrZw6Bnj3yzciwFEC,BisonFi,0.063,1
GraZ9wjJVEGMQsyz3BwkkRdkJFmDrZw6Bnj3yzciwFEC,TesseraV,0.018,1
HQbxGn3JsT7n6bicnhtucaGqeGjs7DWfrxVxdT1KmmuQ,HumidiFi,0.009,1
HioXnHcD9drMeQxiMsZzKHWwrYTQEsZ78NfN2MtZhvXp,GoonFi,0.009,1
HkAop6zTAB933j7nhhUSGwLL5eKZyQizcZsgiL1MjMq1,HumidiFi,0.018,1
HkY8UaajuRDLJVDUA292FZGRBZKxf9CzYrUZLH2WrY1Q,HumidiFi,0.045,1
HkY8UaajuRDLJVDUA292FZGRBZKxf9CzYrUZLH2WrY1Q,BisonFi,0.036,1
HkY8UaajuRDLJVDUA292FZGRBZKxf9CzYrUZLH2WrY1Q,TesseraV,0.018,1
Hr1oNgqznfMSx3KDdnsSJWU6LemHZqMZ1r4i81hyLYDN,HumidiFi,0.216,1
Hr1oNgqznfMSx3KDdnsSJWU6LemHZqMZ1r4i81hyLYDN,TesseraV,0.054,1
Hr1oNgqznfMSx3KDdnsSJWU6LemHZqMZ1r4i81hyLYDN,BisonFi,0.045,1
Hr1oNgqznfMSx3KDdnsSJWU6LemHZqMZ1r4i81hyLYDN,GoonFi,0.018,1
Hr1oNgqznfMSx3KDdnsSJWU6LemHZqMZ1r4i81hyLYDN,SolFiV2,0.009,1
HxjwdF326ZunmUwC1iXhfgL3ku78YsksN6n7Rfxzwr6b,HumidiFi,0.009,1
HydraXoSz7oE3774DoWQQaofKb31Kbn2cbcqG4ShKy85,HumidiFi,0.099,1
HydraXoSz7oE3774DoWQQaofKb31Kbn2cbcqG4ShKy85,TesseraV,0.072,1
HydraXoSz7oE3774DoWQQaofKb31Kbn2cbcqG4ShKy85,BisonFi,0.018,1
HydraXoSz7oE3774DoWQQaofKb31Kbn2cbcqG4ShKy85,GoonFi,0.009,1
J1CMrMaFHJmG97R7xJYrJxRA3MNt7VyHe8CAEUnsQzre,HumidiFi,1.107,1
J1CMrMaFHJmG97R7xJYrJxRA3MNt7VyHe8CAEUnsQzre,GoonFi,0.378,1
J1CMrMaFHJmG97R7xJYrJxRA3MNt7VyHe8CAEUnsQzre,SolFiV2,0.18,1
J1CMrMaFHJmG97R7xJYrJxRA3MNt7VyHe8CAEUnsQzre,BisonFi,0.153,1
J1CMrMaFHJmG97R7xJYrJxRA3MNt7VyHe8CAEUnsQzre,ZeroFi,0.108,1
J1CMrMaFHJmG97R7xJYrJxRA3MNt7VyHe8CAEUnsQzre,TesseraV,0.0809999999999999,1
J8hVkBNKobntWqLspa3yhXEkvb8vZ9S9NiHgirN9yvV3,HumidiFi,1.116,1
J8hVkBNKobntWqLspa3yhXEkvb8vZ9S9NiHgirN9yvV3,TesseraV,0.54,1
J8hVkBNKobntWqLspa3yhXEkvb8vZ9S9NiHgirN9yvV3,BisonFi,0.3239999999999999,1
J8hVkBNKobntWqLspa3yhXEkvb8vZ9S9NiHgirN9yvV3,GoonFi,0.0809999999999999,1
J8hVkBNKobntWqLspa3yhXEkvb8vZ9S9NiHgirN9yvV3,SolFiV2,0.063,1
J8hVkBNKobntWqLspa3yhXEkvb8vZ9S9NiHgirN9yvV3,ZeroFi,0.018,1
JD38n7ynKYcgPpF7k1BhXEeREu1KqptU93fVGy3S624k,HumidiFi,0.027,1
JD38n7ynKYcgPpF7k1BhXEeREu1KqptU93fVGy3S624k,TesseraV,0.018,1
JD38n7ynKYcgPpF7k1BhXEeREu1KqptU93fVGy3S624k,SolFiV2,0.009,1
KKKzQmS38mSxHu7AaasGghGgVqoEt2DS8M5AcBMVK3j,HumidiFi,0.009,1
NcLasxSu3sq921FhBniNniiQVzjSVcQk56nB26WTqG7,HumidiFi,0.054,1
NcLasxSu3sq921FhBniNniiQVzjSVcQk56nB26WTqG7,GoonFi,0.045,1
NcLasxSu3sq921FhBniNniiQVzjSVcQk56nB26WTqG7,BisonFi,0.036,1
NcLasxSu3sq921FhBniNniiQVzjSVcQk56nB26WTqG7,SolFiV2,0.027,1
NcLasxSu3sq921FhBniNniiQVzjSVcQk56nB26WTqG7,TesseraV,0.009,1
PZnEAXQs8JHjLuGPywZYAzSUqgfs5LjLmV6uh6eByWY,HumidiFi,0.171,1
PZnEAXQs8JHjLuGPywZYAzSUqgfs5LjLmV6uh6eByWY,BisonFi,0.018,1
SHARKRdGLNYRZrhotqvZi3XAtT62CRGCFxmg5LJgSHC,TesseraV,0.045,1
SHARKRdGLNYRZrhotqvZi3XAtT62CRGCFxmg5LJgSHC,HumidiFi,0.036,1
TAPNDP5dFr9Vp47DFuddRxNVYmjUqgh8boiUrWFgMqi,GoonFi,0.8460000000000001,1
TAPNDP5dFr9Vp47DFuddRxNVYmjUqgh8boiUrWFgMqi,HumidiFi,0.774,1
