signer,pool,total_profit,attack_count
3NC8bmzCeEK2NBw1G5W6EmR66DNRW3gR22CGMt9EmxrU,GoonFi,0.009,1
3T6gxwpMjdT7h4N8i6ucynpe8xXiWj8B1aLKNTS1d3dC,HumidiFi,0.27,1
3ccqanQ7s9T7usEaPh6DcESrjW3MphhwEtDHKNmSxR23,GoonFi,0.09,1
3ccqanQ7s9T7usEaPh6DcESrjW3MphhwEtDHKNmSxR23,HumidiFi,0.045,1
3ccqanQ7s9T7usEaPh6DcESrjW3MphhwEtDHKNmSxR23,SolFiV2,0.027,1
3ccqanQ7s9T7usEaPh6DcESrjW3MphhwEtDHKNmSxR23,BisonFi,0.018,1
3ccqanQ7s9T7usEaPh6DcESrjW3MphhwEtDHKNmSxR23,ZeroFi,0.009,1
3hPFdVwVjRK33VySYhxJ8zHHaXiaD7iDe6BYTaCmzzyR,SolFiV2,0.009,1
3xb1APhYyenJhoq6Kpjetps9rsmS8kJAGhXVBHaDyWmL,GoonFi,0.315,1
3xb1APhYyenJhoq6Kpjetps9rsmS8kJAGhXVBHaDyWmL,HumidiFi,0.234,1
3xb1APhYyenJhoq6Kpjetps9rsmS8kJAGhXVBHaDyWmL,SolFiV2,0.045,1
3xb1APhYyenJhoq6Kpjetps9rsmS8kJAGhXVBHaDyWmL,BisonFi,0.036,1
3xb1APhYyenJhoq6Kpjetps9rsmS8kJAGhXVBHaDyWmL,TesseraV,0.027,1
3xb1APhYyenJhoq6Kpjetps9rsmS8kJAGhXVBHaDyWmL,ZeroFi,0.009,1
47qGcvnQ6ivbfoccs1Ck56CByhfzoJKd8nA3DzX3jBEh,GoonFi,0.009,1
4RvgumbsgRftVLTK1cXGsyXnuGVm42juEMSkRA9JHLNb,HumidiFi,0.009,1
4dC1XCS2R2rqm1TXgq2K2QX4T5eCSYTW5QSu4TJAYh23,BisonFi,0.027,1
4dC1XCS2R2rqm1TXgq2K2QX4T5eCSYTW5QSu4TJAYh23,GoonFi,0.027,1
4dC1XCS2R2rqm1TXgq2K2QX4T5eCSYTW5QSu4TJAYh23,HumidiFi,0.018,1
4dC1XCS2R2rqm1TXgq2K2QX4T5eCSYTW5QSu4TJAYh23,SolFiV2,0.018,1
4i3kFLZuutG5fvjg5wvq15n4NPpj12wXCRMyP7TcZbNj,SolFiV2,0.3239999999999999,1
4i3kFLZuutG5fvjg5wvq15n4NPpj12wXCRMyP7TcZbNj,HumidiFi,0.243,1
4i3kFLZuutG5fvjg5wvq15n4NPpj12wXCRMyP7TcZbNj,GoonFi,0.171,1
4i3kFLZuutG5fvjg5wvq15n4NPpj12wXCRMyP7TcZbNj,ZeroFi,0.09,1
4i3kFLZuutG5fvjg5wvq15n4NPpj12wXCRMyP7TcZbNj,BisonFi,0.027,1
4i3kFLZuutG5fvjg5wvq15n4NPpj12wXCRMyP7TcZbNj,TesseraV,0.009,1
4o9Sgxpam1ihEJLPKxpgPfMpgxhXpcGEqPGptLxGJ7yv,GoonFi,0.009,1
4o9Sgxpam1ihEJLPKxpgPfMpgxhXpcGEqPGptLxGJ7yv,HumidiFi,0.009,1
