amm_trade,signer,back_running,fat_sandwich,front_running,sandwich,validator,sandwich_complete,cost_sol,profit_sol,net_profit_sol,confidence,classification,rank,total_profit,attack_count
HumidiFi,CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,0,592,0,6,HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML,299,0.299,2.99,2.6910000000000003,high,FAT_SANDWICH,5,3.4380000000000006,6
BisonFi,CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,0,91,0,1,9n1eEtJJfj1535NYfx524QcCG5aHbf5DH7ejqBrFLBwG,45,0.045,0.45,0.405,high,FAT_SANDWICH,5,3.4380000000000006,6
GoonFi,CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,0,27,0,0,GiYSnFRrXrmkJMC54A1j3K4xT6ZMfx1NSThEe5X2WpDe,13,0.013,0.13,0.117,high,FAT_SANDWICH,5,3.4380000000000006,6
TesseraV,CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,0,24,0,0,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,12,0.012,0.12,0.108,high,FAT_SANDWICH,5,3.4380000000000006,6
SolFiV2,CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,0,16,0,0,9W3QTgBhkU4Bwg6cwnDJo6eGZ9BtZafSdu1Lo9JmWws7,8,0.008,0.08,0.072,high,FAT_SANDWICH,5,3.4380000000000006,6
ZeroFi,CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,0,11,0,0,GSTampk6BJRKSDkzhaMM49R7qRx98MTPYYWvKbp83XKc,5,0.005,0.05,0.045,high,FAT_SANDWICH,5,3.4380000000000006,6
HumidiFi,YubozzSnKomEnH3pkmYsdatUUwUTcm7s4mHJVmefEWj,0,632,0,17,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,324,0.324,3.24,2.9160000000000004,high,FAT_SANDWICH,6,3.0690000000000004,6
GoonFi,YubozzSnKomEnH3pkmYsdatUUwUTcm7s4mHJVmefEWj,0,15,0,1,grptonHnt7YSmJokGK9TJJTBXDT8ca4LSWMHCCfzzPa,7,0.007,0.07,0.063,high,FAT_SANDWICH,6,3.0690000000000004,6
TesseraV,YubozzSnKomEnH3pkmYsdatUUwUTcm7s4mHJVmefEWj,0,11,0,0,5Cchr1XGEg7dbBXByV5NY2ad8jfxAM7HA3x8D56rq9Ux,5,0.005,0.05,0.045,high,FAT_SANDWICH,6,3.0690000000000004,6
BisonFi,YubozzSnKomEnH3pkmYsdatUUwUTcm7s4mHJVmefEWj,0,4,0,0,ArMBx6veRq33ffEP9sxHafiPRgrtzww4XvbwZbSMfXiM,2,0.002,0.02,0.018,high,FAT_SANDWICH,6,3.0690000000000004,6
SolFiV2,YubozzSnKomEnH3pkmYsdatUUwUTcm7s4mHJVmefEWj,0,4,0,0,VALiDcyCpujxjJAZDK2av2TpMAigpSodzj2ApqgR4e6,2,0.002,0.02,0.018,high,FAT_SANDWICH,6,3.0690000000000004,6
ZeroFi,YubozzSnKomEnH3pkmYsdatUUwUTcm7s4mHJVmefEWj,0,3,0,0,BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq,1,0.001,0.01,0.009,high,FAT_SANDWICH,6,3.0690000000000004,6
