amm_trade,signer,back_running,fat_sandwich,front_running,sandwich,validator,sandwich_complete,cost_sol,profit_sol,net_profit_sol,confidence,classification,rank,total_profit,attack_count
GoonFi,ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,0,3,0,0,22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,1,0.001,0.01,0.009,high,FAT_SANDWICH,18,2.133,7
TesseraV,ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,0,2,0,0,EXckihF3qmguH5znjhfzLvHsbk2E3nEW2DqNh4MMnDMm,1,0.001,0.01,0.009,medium,FAT_SANDWICH,18,2.133,7
ZeroFi,ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,0,3,0,0,CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2,1,0.001,0.01,0.009,high,FAT_SANDWICH,18,2.133,7
HumidiFi,EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,0,245,0,10,ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,127,0.127,1.27,1.143,high,FAT_SANDWICH,19,2.088,6
GoonFi,EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,0,87,0,11,4SgoyAwN26iu9Gpf12Bk1rnzp4G4yDUM3XVv4w7VQcAf,48,0.048,0.48,0.432,high,FAT_SANDWICH,19,2.088,6
TesseraV,EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,0,59,0,2,ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,30,0.03,0.3,0.27,high,FAT_SANDWICH,19,2.088,6
BisonFi,EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,0,33,0,0,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,16,0.016,0.16,0.144,high,FAT_SANDWICH,19,2.088,6
SolFiV2,EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,0,18,0,1,GoeW4aFK4dGoekJySgUynWDxBZiQJqm8GDAF4H53tDK9,9,0.009,0.09,0.0809999999999999,high,FAT_SANDWICH,19,2.088,6
ZeroFi,EJdrWPg32qHnmc3cwgGRfTrvWpQkDH2vHNGsane6WFGd,0,4,0,0,58KprHKFNHgH1Cvo4QwxWkDeJNaSQVteCoAAFUWjtESn,2,0.002,0.02,0.018,high,FAT_SANDWICH,19,2.088,6
HumidiFi,J1CMrMaFHJmG97R7xJYrJxRA3MNt7VyHe8CAEUnsQzre,0,244,0,3,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,123,0.123,1.23,1.107,high,FAT_SANDWICH,20,2.007,6
GoonFi,J1CMrMaFHJmG97R7xJYrJxRA3MNt7VyHe8CAEUnsQzre,0,82,0,2,BkoS26vBuaXnSowACdChi4WKid8UwmuPNhEJWa8KsLHd,42,0.042,0.42,0.378,high,FAT_SANDWICH,20,2.007,6
SolFiV2,J1CMrMaFHJmG97R7xJYrJxRA3MNt7VyHe8CAEUnsQzre,0,39,0,2,9W3QTgBhkU4Bwg6cwnDJo6eGZ9BtZafSdu1Lo9JmWws7,20,0.02,0.2,0.18,high,FAT_SANDWICH,20,2.007,6
BisonFi,J1CMrMaFHJmG97R7xJYrJxRA3MNt7VyHe8CAEUnsQzre,0,35,0,1,9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ,17,0.017,0.17,0.153,high,FAT_SANDWICH,20,2.007,6
ZeroFi,J1CMrMaFHJmG97R7xJYrJxRA3MNt7VyHe8CAEUnsQzre,0,25,0,0,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,12,0.012,0.12,0.108,high,FAT_SANDWICH,20,2.007,6
TesseraV,J1CMrMaFHJmG97R7xJYrJxRA3MNt7VyHe8CAEUnsQzre,0,19,0,0,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,9,0.009,0.09,0.0809999999999999,high,FAT_SANDWICH,20,2.007,6
