amm_oracle,validator,transaction_count,mean_latency_us,std_latency_us,pool_trades
AlphaQ,3JotfSFPaod4KVK7nj7ULvcq5PjUBdZNVGracNkJNhrt,142,147139.31,115411.01,142
AlphaQ,3KNGMiXwhy2CAWVNpLoUt25sNngFnX1mZpaiEeVccBA6,1,10692.0,,1
AlphaQ,3KiDz3wuZrJfsgKt5KEvRb1WPpbci1PWj78aPVF5ei3F,16,122274.12,115861.98,16
AlphaQ,3Pfubj3ytkRxFAGwFb5vtacuZJUxko5Du39xie9MBXuC,4,185557.75,192818.63,4
AlphaQ,3RXKQBRv7xKTQeNdLSPhCiD4QcUfxEQ12rtgUkMf5LnS,27,147284.7,120015.8,27
AlphaQ,3Rv6ZVGUuRczP76322LyhTTYw2iM4avV4B5xFJocQJer,10,154487.9,114899.86,10
AlphaQ,3SkE34PVeGck2ArEffFKjihrQgURsvnoTAhitsNXNzXd,190,140226.48,109581.72,190
AlphaQ,3V2xaccDpFib4DbTksdiveNDmiwpXBqSWyjSof3w1Bg7,11,107504.0,107121.79,11
AlphaQ,3WDh9HgusCujDmXCVhophLrHvoKHQd1Sd4uFHz1Awo35,12,146410.92,118103.34,12
AlphaQ,3YVoK8UN62dyiPZnGBzBTkGdwsVmmK1MpRoLcxNRs9BE,36,156152.94,109286.67,36
AlphaQ,3YX7PQuESmR2h95FDgjahEQjyCBhmY1Ts2MsrM1Kg9DS,2,195444.5,152585.87,2
AlphaQ,3cZSHGfNdaULpFAvGbWbxpVwzXB4gHdk8NFucPNR5pgA,22,165172.59,117874.84,22
AlphaQ,3fpcsJ2WPdrmpjVVA5Lmv4m9Qx5xqND1xJhFprDSjWJ4,14,168381.43,103665.16,14
AlphaQ,3psxMyr7rQzywVp1MXKd1XFmFz33NjydzCoJx9t2sMQW,51,317002.22,90290.63,51
AlphaQ,3rqEEEGjHRyndHuduBcjkf17rX3hgmGACpYTQYeZ5Ltk,9,142404.89,108995.29,9
AlphaQ,3s97yjq2MhoPVPC3U9VeE3Z5S643Pweovg88ysvrQPw5,25,145523.28,100480.63,25
AlphaQ,3tm92VTxwyZ5MDhGoYR4tVTkwWYkzfam6hwBjauUACCk,2,195250.5,133724.5,2
AlphaQ,3tzpLMWRkWucvTRWU5PjgKzN1iwJuV69yCCjmuuo4gTk,19,160748.68,106256.61,19
AlphaQ,3x9nibnhgBHWKMRiGnsXJELRBjviQpKyigfrXtKW27KJ,14,155137.0,126056.56,14
AlphaQ,43Am3PKFeo9cACpqYL5Sk95rpVdxLw3Mc22PqRqZXEW2,25,177410.0,117145.7,25
AlphaQ,49j9bnkdgVNxLwsZ9h88sPR5MYEmsUyKrrJ6ZW8ijBrb,3,111321.0,176758.97,3
AlphaQ,4DraK9wUrMSpzbGjUbSWTHAhJimMyB49HyKhvfwe6e51,9,104471.89,97988.34,9
AlphaQ,4GEEKSwuiBHWTff9WaqrDcToZjbX6KYdyB4c578Zxse2,3,175593.67,130026.95,3
AlphaQ,4JahMMrVRS1gimWoXpD5H6KwKc2MrsoTDFMaStMttL1E,10,116216.1,131184.13,10
AlphaQ,4Kbcyn7JVPAWLRLPsNGTPmcNMvCkLTw51ZLRhqsUC6jP,5,83089.0,67067.17,5
AlphaQ,4QNekaDqrLmUENqkVhGCJrgHziPxkX9kridbKwunx9su,10,148970.1,124246.95,10
AlphaQ,4SgoyAwN26iu9Gpf12Bk1rnzp4G4yDUM3XVv4w7VQcAf,17,130561.59,99151.12,17
AlphaQ,4SsMncJdtKiUcDtukkX15mqei7WiuQ9yvRtQrQW4reWC,63,105756.63,97129.85,63
AlphaQ,4VrjyXQT61WFSjuG3ehgqZUK1jqvYqB46veQbXLotq3n,12,108204.92,121904.59,12
AlphaQ,4W3jdXyqhLCjzA3Liu8ZNjViwrc6N9YjSB7obbxfjcKE,9,179889.56,133501.88,9
AlphaQ,4XspXDcJy3DWZsVdaXrt8pE1xhcLpXDKkhj9XyjmWWNy,26,133088.19,101826.05,26
AlphaQ,4YGgmwyqztpJeAi3pzHQ4Gf9cWrMHCjZaWeWoCK6zz6X,4,167086.25,121060.19,4
AlphaQ,4aRPyjsqqFsf5488a9QAaHJLQJMGwoL5P6wRtLmroe2d,11,156658.82,109801.53,11
AlphaQ,4b1onMDEasBh4BuPekQWijx3BYR64hAE1z2jJyeZUkck,5,195684.4,131147.76,5
AlphaQ,4k6wgP5WPBKQpsFGtzuXNrjcTE2fKWLj17nDvFeG5zSF,13,180583.62,104703.84,13
AlphaQ,4mtXJ5pUcMMB4t8cLbi7zfDJCHfYLRrQb4qSLmh57sKL,59,361305.71,43864.82,59
AlphaQ,4uH4G6YiD5G8rU3mtPg73C2Uqamrqedy3FboTZcZrh6x,10,507300.5,187422.28,10
AlphaQ,4vcmYPfLztUckU3c3FvXDwSq8aDNDqwEpvEiqAv97LGJ,9,73935.67,96276.1,9
AlphaQ,4vdWYn2KbmQ3Dns5wVBfz4CFQDds4b7CpsC8MHBhHAib,11,127371.0,130564.36,11
AlphaQ,574rvsKGZg8rBuSNX7k8gG2mHFvUMwt22sSgJJBMCQVy,8,74399.0,92086.28,8
AlphaQ,57i31UEyDg4koaZMZ1wAHbYuezXv3AVaHtvJgJarxt3f,19,143573.37,107779.36,19
AlphaQ,58KprHKFNHgH1Cvo4QwxWkDeJNaSQVteCoAAFUWjtESn,71,157705.14,115178.8,71
AlphaQ,5AsoSeQtLoN8eLsf3wKrR3LwxHME4sTBGR6dpTCP1k3H,18,178360.56,113057.05,18
AlphaQ,5Cchr1XGEg7dbBXByV5NY2ad8jfxAM7HA3x8D56rq9Ux,301,137306.79,107250.98,301
AlphaQ,5EhGYUyQNrxgUbuYF4vbL2SZDT6RMfhq3yjeyevvULeC,253,159521.18,108155.31,253
AlphaQ,5FbKKGdEaFcxGxxaLKVvBes2JxiKbreh8w2ZpMcSQ2a5,6,115443.67,106903.2,6
AlphaQ,5HYjArGt81naevDdwMaEx8yeGNw9jYBSDJa8YavT9Mp4,21,148218.81,92887.14,21
AlphaQ,5LNEDitSMhApT2uFnmtN7FmjCiGuatpnb2uU4f3shrk,2,161233.5,106571.6,2
AlphaQ,5MAGJ3zShtXMMVXjZRoFqtFF7XhP8iLSyZrxdL7KpjcB,23,140755.39,89575.12,23
AlphaQ,5N9r2ne7dPgHtzeHC5ETJ3DAueKQiXSU8KAmEZrrojT7,5,165282.6,129672.24,5
AlphaQ,5P35CJVKU15Rrh5M6EVkre23EyA3K34kAut2GXhHKM7W,2,12947.5,9538.16,2
AlphaQ,5RvfTSowms7BTYaBj8SxVjj7ELAAKdQadKsuNpmBAwCs,39,110832.31,103363.38,39
AlphaQ,5TGfVQV1S3wHE9hkgGaQkRoPC7xZxiqwMcjQZxVYsf1j,76,138153.62,114672.73,76
AlphaQ,5Us18hLZPXJTS4QVuGSsUw137Dyd2tgBaem24Xsf5nBS,95,134002.91,106646.63,95
AlphaQ,5VrW7YNBccVnhnZVmooCePdLFcs2UjfxRT3hoY9mN8Ec,21,134628.05,112158.37,21
AlphaQ,5XKJwdKB2Hs7pkEXzifAysjSk6q7Rt6k5KfHwmAMPtoQ,8,151125.12,93556.01,8
AlphaQ,5ZjxMYBbnKd4VFxLjAChSWMTeQ96147HnxZvQJxUseHV,4,240743.25,85741.56,4
AlphaQ,5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk,318,148096.45,111194.46,318
AlphaQ,5aD6KB8g4MPt3xJafmMmun86hHMDnoFiGbd5gYiMFZw7,18,276618.89,109018.93,18
AlphaQ,5d9Mdc2Zk8as8GL1AxQeXxv5htBBvC5bjfmsXC7UUWwG,26,117585.42,118058.33,26
AlphaQ,5ejbTALcBsKQ7Cj1iSuu2mY5jqbYHqh9gF5ERXLiYj1z,236,143751.74,109701.69,236
AlphaQ,5essVpBYvocZkQnkrWsMDfRPwtp4BeihJRaweKLR4dRn,28,147615.11,120522.68,28
AlphaQ,5fSQdv4zsAJNx6RKpGho6sL6rY6a8nziaqcmwaRJB9NE,4,73876.75,20877.34,4
AlphaQ,5ghoFEVrsXeAPB6SUmBpZ2xq3KvHEjNMeSaBnxEBXkHV,5,200850.0,133959.85,5
AlphaQ,5ikB9XZNVsjwKb6hHT3FS3So1Z1SrDvU5yaniWEQyDEG,21,132356.0,90729.29,21
AlphaQ,5ivRNcK1yThcK3koZR1oikAfuNm6rj1LceMskayoVSzc,6,372354.5,95205.43,6
AlphaQ,5marvipGzf98hxnoJFXsZbGHSXcEQ3yRGJ4ps7D3V4ou,15,126352.27,99493.39,15
AlphaQ,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,649,181469.37,140923.6,649
AlphaQ,5pZvwjSpGYCxpJeySwSbSAji7kZe4YntL7rQvXM3YcNT,17,167733.41,107117.73,17
AlphaQ,5t4shVsKnUqgjmhK3fFNsvyju2E6Rd7cc4S5pmqqEVEW,1,197643.0,,1
AlphaQ,5tfcGyf3NQFcufDigvbRt9kWoVN2KPEkBRUY3UaC3Zwm,23,133282.48,118019.55,23
AlphaQ,5yEnvhM4Ld3UZs2n173J2iR369E1ddcbQYeLSZxk4cYj,1,294424.0,,1
AlphaQ,5ysfTZ42VT1TjnjzQShZSrix7wdVtjXwssocSeYKDs5d,6,212816.17,133461.42,6
AlphaQ,5zm9g3zgAPWzX3wmUB2JtTkcwCqe74NWsTmt5wLFwCKK,18,333213.67,46106.7,18
AlphaQ,5zuNci3TV79w6zLoJZzbZujMvkVZb2FcSPhgv9aT24AK,13,154609.92,123286.05,13
AlphaQ,61QB1Evn9E3noQtpJm4auFYyHSXS5FPgqKtPgwJJfEQk,12,165369.42,115154.69,12
AlphaQ,65pHd5P2VrehonT1cdJ2JUnq5wi3WUgfL3A8RhYH7Kg7,3,341365.33,88416.84,3
AlphaQ,6JKwz43wDTgk5n8eNCJrtsnNtkDdKd1XUZAvB9WkiEQ4,9,107578.33,106857.6,9
AlphaQ,6M53yM6dsE6hiaHgxWvYa4fsfzQTGyAZn7rM6JrzbqJV,25,138087.64,105639.46,25
AlphaQ,6MiEjXqYksCtKnJpvAp3CAoEZnnWZyoSxu41HCzAYNdc,42,246055.71,122823.98,42
AlphaQ,6NDen7aDi65apHo8m1Vea4nuS6LyjQeM6pDNqcW4Q5Pg,8,183432.25,102432.54,8
AlphaQ,6PvHaibtZhuba14dzbhGFJRASYX3Ka2oviRzSbXV2wYC,22,127172.18,118082.42,22
AlphaQ,6Rk694kh1QTyQkirdb1uDZmS5xqG9bNaYtxx8d311Mr7,10,240912.2,140127.82,10
AlphaQ,6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea,70,137068.43,108111.43,70
AlphaQ,6WgdYhhGE53WrZ7ywJA15hBVkw7CRbQ8yDBBTwmBtAHN,96,142367.94,105329.78,96
AlphaQ,6XKqyUVUcpe3CNucjF6gk5zonJDqNGvob6kaTy4Ps1U,53,167601.55,107138.54,53
AlphaQ,6YDWxPaJWpZxJ6JLGaBeTJaGQn3gi3Pwtivii9cDyDHo,4,185127.0,131379.21,4
AlphaQ,6aDs9tUm2gErcPn2c1TZnp5cu2bQV9BzyuwW4baWQYd4,75,255105.56,48355.62,75
AlphaQ,6c6RrC9TWNgiVXnbZ6hehNuhyh81pZK1yAj5w2nXZTwi,4,128180.0,97414.46,4
AlphaQ,6gL3uHvuUjaPp9mTBf2VZ4tpKiYhbWyPrAPboGByzEHd,10,184057.6,102293.4,10
AlphaQ,6gnbmed7kzwQVQ7ghsjgEuCoYmGeWciV2qCwni6WS6HU,18,150346.39,112440.83,18
AlphaQ,6k1YkmTKwPRUhChnxA9ryJmbtuQMbro4xFTL6mL9jycB,10,182997.4,118571.61,10
AlphaQ,6pEtDovpyd1zUMYPuNhMCPU37sUTEAtzzgoVVAh1G1JL,8,101101.38,93385.71,8
AlphaQ,6qwYjs5vCSEKaTMBbHinnW8fvdGj1r8cpzPoAV1EHKsw,2,309325.5,36409.64,2
AlphaQ,6xFDLX751L7H9d5fQT9sf2SM5RWWE9LDgqz25pPDbWoJ,15,109798.0,105852.45,15
AlphaQ,6xUK9Nbonr4eoJNtHGoUEMmYKoPz5mipKzyDBv6deX4d,9,120846.89,100906.94,9
AlphaQ,6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8,66,163838.5,105214.61,66
AlphaQ,6y7V8dL673XFzm9QyC5vvh3itWkp7wztahBd2yDqsyrK,225,138596.99,108061.02,225
AlphaQ,6yFGGAgYpBxgYPuHW4rv7hJmhKrUiXKyHkpVGaYtKrwE,60,129160.17,105202.99,60
AlphaQ,6yVX5rkTR3NfgCuu37vkmLCeG2RLqKaJHLj4G6b4Dvzu,1,287795.0,,1
AlphaQ,722RdWmHC5TGXBjTejzNjbc8xEiduVDLqZvoUGz6Xzbp,109,129373.83,110068.18,109
AlphaQ,73hojLdq1vZDSxeVQEqVFJ4iwLngdvEJPEpEHkSdv6BZ,20,156099.1,97540.5,20
AlphaQ,74Xkp2iLXm315h69sFRiCFjmKnaWkMV8W2LgJwPRSgN5,6,281594.5,36706.21,6
AlphaQ,76rcGHdPvgs8G1XrzCXUTWtwgT59AFDvpB4VbTS2TBBJ,171,154346.92,110804.69,171
AlphaQ,7CR3Jq4ny2tsr3DX3DvyjoU8TYs776MGkU6nLMWjAqCT,52,123774.21,107839.88,52
AlphaQ,7EzbSahSfSjeRexHcNDLDpzHBAGBLjLKtjbmuoQnEtjE,39,148006.49,111356.7,39
AlphaQ,7G4RfctwLLgqG4ZWfCirU8dfJd87mKQWgB4EHQRv8i7v,13,157531.54,123961.88,13
AlphaQ,7GkMBmtrTZz8QbjSe1sXvAUtz7Pp42SQxfT5ymmJD4We,22,99647.41,95530.54,22
AlphaQ,7HMHSdQkjDwz9Q5zAhEy83uzW3XHJchjdpMYapKXcKt5,6,176488.33,148972.52,6
AlphaQ,7Hp1e6BrTBkbBN4wFiNmycPVPsjvyUUBL2tGhYEMT6gt,2,419912.0,299226.38,2
AlphaQ,7MTjmteQHhthwwTZhUzsc2dP4NBvGNRqj8jzdqNxHFGE,18,193021.28,105926.37,18
AlphaQ,7Nn8qBJey7vXtVFMNBbbuN8UkujU8Y6nWzbHVGuf49yV,10,170276.9,128040.06,10
