validator,back_running_count,front_running_count,sandwich_count,fat_sandwich_count,sandwich_complete_count,total_cost_sol,total_profit_sol,net_profit_sol,avg_confidence,mev_events,mev_risk_score
Bs19Z9SokV1s46jutN9tqqaCgYf1GsVyyytVfkzwn9qK,0,0,1,73,36,0.036,0.36,0.324,,1,
A4hyMd3FyvUJSRafDUSwtLLaQcxRP4r1BRC9w2AJ1to2,0,0,5,69,36,0.036,0.36,0.324,,1,
7Zm1pE4FubFYZDyAQ5Labh3A4cxDcvve1s3WCRgEAZ84,0,0,11,56,32,0.032,0.32,0.288,,3,
9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ,0,0,2,71,30,0.03,0.3,0.27,,14,
BUv44cVtsdvU9z2BfFGk6s5JZZWrmVnq5qCaii5ARyyB,0,0,0,68,30,0.03,0.3,0.27,,10,
nymsHergYedT9CJMgtGMvqXUTGcbs5o3MiWTJUbqTGY,0,0,0,61,29,0.029,0.29,0.261,,5,
ana2y2YvQ3ZPMwm6qhnN3nJoUSiT3qx5Pvetkq9xcfY,0,0,3,60,29,0.029,0.29,0.261,,6,
84gC25fbFKYueR9WEfreUysk1n3ZFxLFDDjbyqeqGpoW,0,0,2,57,28,0.028,0.28,0.252,,4,
6WgdYhhGE53WrZ7ywJA15hBVkw7CRbQ8yDBBTwmBtAHN,0,0,0,59,27,0.027,0.27,0.243,,5,
DUND26mEDfFeaPsVof3YvbXDRvpuQX7HMUJrLgEWzYw4,0,0,2,54,27,0.027,0.27,0.243,,4,
q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,0,0,1,72,26,0.026,0.26,0.234,,23,
3SkE34PVeGck2ArEffFKjihrQgURsvnoTAhitsNXNzXd,0,0,7,51,26,0.026,0.26,0.234,,6,
GoeW4aFK4dGoekJySgUynWDxBZiQJqm8GDAF4H53tDK9,0,0,2,58,25,0.025,0.25,0.225,,12,
DNVZMSqeRH18Xa4MCTrb1MndNf3Npg4MEwqswo23eWkf,0,0,1,75,25,0.025,0.25,0.225,,27,
PRGNnb8DxVcP2WjSHfVRGgc8SkA5u6dbMwoTVV1BGKN,0,0,0,52,25,0.025,0.25,0.225,,4,
7QQGNm3ptwinipDCyaCF7jY5katgmFUu1ieP2f7nwLpE,0,0,1,56,25,0.025,0.25,0.225,,7,
FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi,0,0,5,51,23,0.023,0.23,0.207,,13,
hykfH9jUQqe2yqv3VqVAK5AmMYqrmMWmdwDcbfsm6My,0,0,1,46,23,0.023,0.23,0.207,,1,
43Am3PKFeo9cACpqYL5Sk95rpVdxLw3Mc22PqRqZXEW2,0,0,3,45,23,0.023,0.23,0.207,,2,
2m1A2WM1vte7RWz5xTTw4i1SiXmngVtXhqFERaUjoAAb,0,0,3,49,22,0.022,0.22,0.198,,8,
FZ4MT1HYJHd9GK8D5mJ9f3r7irLaDL5NxBNLjGqrLqs9,0,0,0,46,20,0.02,0.2,0.18,,8,
5HYjArGt81naevDdwMaEx8yeGNw9jYBSDJa8YavT9Mp4,0,0,0,42,19,0.019,0.19,0.171,,6,
KoLibrJsbABbtmtFPc7nPvDxT81rc4UPM7mY9xSLjpo,0,0,1,38,19,0.019,0.19,0.171,,3,
5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk,0,0,3,49,19,0.019,0.19,0.171,,17,
76rcGHdPvgs8G1XrzCXUTWtwgT59AFDvpB4VbTS2TBBJ,0,0,2,40,18,0.018,0.18,0.162,,6,
