validator,back_running_count,front_running_count,sandwich_count,fat_sandwich_count,sandwich_complete_count,total_cost_sol,total_profit_sol,net_profit_sol,avg_confidence,mev_events,mev_risk_score
5zuNci3TV79w6zLoJZzbZujMvkVZb2FcSPhgv9aT24AK,0,0,0,1,0,0.0,0.0,0.0,,1,
61QB1Evn9E3noQtpJm4auFYyHSXS5FPgqKtPgwJJfEQk,0,0,0,3,0,0.0,0.0,0.0,,3,
6M53yM6dsE6hiaHgxWvYa4fsfzQTGyAZn7rM6JrzbqJV,0,0,0,1,0,0.0,0.0,0.0,,1,
574rvsKGZg8rBuSNX7k8gG2mHFvUMwt22sSgJJBMCQVy,0,0,0,1,0,0.0,0.0,0.0,,1,
Spiky3mMSLHGhffuEhYR7ptMNZ8NddddwrTjki4VhWk,0,0,0,1,0,0.0,0.0,0.0,,1,
6aDs9tUm2gErcPn2c1TZnp5cu2bQV9BzyuwW4baWQYd4,0,0,0,1,0,0.0,0.0,0.0,,1,
6xWLi1TDSh65fWsSqE1zdvANTSuVDRMx4ghsGJwgunS8,0,0,0,2,0,0.0,0.0,0.0,,2,
722RdWmHC5TGXBjTejzNjbc8xEiduVDLqZvoUGz6Xzbp,0,0,0,10,0,0.0,0.0,0.0,,10,
7GkMBmtrTZz8QbjSe1sXvAUtz7Pp42SQxfT5ymmJD4We,0,0,0,3,0,0.0,0.0,0.0,,3,
7Nn8qBJey7vXtVFMNBbbuN8UkujU8Y6nWzbHVGuf49yV,0,0,0,1,0,0.0,0.0,0.0,,1,
SLAY6uN1zZpXBTfbuDDCesNmM5D288xrz8uYvfS3n41,0,0,0,1,0,0.0,0.0,0.0,,1,
7PdKhpKz7T39vZHFL1UfcYNDsLvay6hp4KPQq1aUckFf,0,0,1,1,0,0.0,0.0,0.0,,2,
RNXnAJV1DeBt6Lytjz4wYzvS3d6bhsfidS5Np4ovwZz,0,0,0,2,0,0.0,0.0,0.0,,2,
Ste1115xFGdAYK5jaWA3dEFcUc1S5jEbVvD8e327zty,0,0,0,2,0,0.0,0.0,0.0,,2,
4DraK9wUrMSpzbGjUbSWTHAhJimMyB49HyKhvfwe6e51,0,0,0,1,0,0.0,0.0,0.0,,1,
4vdWYn2KbmQ3Dns5wVBfz4CFQDds4b7CpsC8MHBhHAib,0,0,0,4,0,0.0,0.0,0.0,,4,
3RXKQBRv7xKTQeNdLSPhCiD4QcUfxEQ12rtgUkMf5LnS,0,0,0,1,0,0.0,0.0,0.0,,1,
2E2JPuFhjkQvEJEeNGqVSwGLJa5GoFqabQTutGjg1bzw,0,0,0,1,0,0.0,0.0,0.0,,1,
2dfgsiSaZ51QYPsECMYMG247PXxyKdwkV9wTHoQb8YEC,0,0,0,1,0,0.0,0.0,0.0,,1,
vALigXFg9wnnhVHN16vNxHxXtAXiBv5QjAE6udoniBY,0,0,1,0,0,0.0,0.0,0.0,,1,
2mDrrmhSzpSyaF12izGk8hnFjtKCGeCFPwQHpRiJDby2,0,0,0,1,0,0.0,0.0,0.0,,1,
2zykwzzo1pd3H2oSj5j5SRLTvmpa9Nr2S2Bh8tTVd5Tq,0,0,0,1,0,0.0,0.0,0.0,,1,
32ke3uf1qL3xLqbwzU76T2sbG2XaJrGuSCNdUnien3zm,0,0,0,1,0,0.0,0.0,0.0,,1,
sTepQGoReJq2tBKStL19DT6nnGHcGiAvFjyYaokLyuM,0,0,0,1,0,0.0,0.0,0.0,,1,
rssaJ2iKcE9QWsFYRZr8Q66TQh5bRk9DxYrzxGMzWQr,0,0,0,2,0,0.0,0.0,0.0,,2,
3C2cXXVHCm2w2EWnHUNxhtZCB2EMv2AeJ4TpW5ws18fi,0,0,0,1,0,0.0,0.0,0.0,,1,
3JotfSFPaod4KVK7nj7ULvcq5PjUBdZNVGracNkJNhrt,0,0,0,3,0,0.0,0.0,0.0,,3,
popscoyTKVksa4TyTXw488b3vvFxM7qQEyTBeMQopKu,0,0,0,1,0,0.0,0.0,0.0,,1,
phz1CRbEsCtFCh2Ro5tjyu588VU1WPMwW9BJS9yFNn2,0,0,0,1,0,0.0,0.0,0.0,,1,
3V2xaccDpFib4DbTksdiveNDmiwpXBqSWyjSof3w1Bg7,0,0,0,1,0,0.0,0.0,0.0,,1,
farbZXR7aBQSMCYiUXzoS4pRUsvuCZ38f6AXMXiKACf,0,0,0,2,0,0.0,0.0,0.0,,2,
pSoLoZx55zZz61gjxSTwHtwTg4yTwdm7ruBmyjbYgT2,0,0,0,2,0,0.0,0.0,0.0,,2,
oPaLtitM6cwpFVzP2rDhLsJLdY2vcbuZiJJyD1TFUKs,0,0,0,1,0,0.0,0.0,0.0,,1,
3WDh9HgusCujDmXCVhophLrHvoKHQd1Sd4uFHz1Awo35,0,0,0,1,0,0.0,0.0,0.0,,1,
3rqEEEGjHRyndHuduBcjkf17rX3hgmGACpYTQYeZ5Ltk,0,0,0,1,0,0.0,0.0,0.0,,1,
mrgn4sJJu5GBa5wbKyjuASzhyCifvcedGoLtpKjB3Wf,0,0,0,1,0,0.0,0.0,0.0,,1,
3s97yjq2MhoPVPC3U9VeE3Z5S643Pweovg88ysvrQPw5,0,0,0,2,0,0.0,0.0,0.0,,2,
3tm92VTxwyZ5MDhGoYR4tVTkwWYkzfam6hwBjauUACCk,0,0,0,1,0,0.0,0.0,0.0,,1,
huinBRP3muBuqZLMW8ARjdn4mBnEmFFcxiBzrkQz553,0,0,0,1,0,0.0,0.0,0.0,,1,
3x9nibnhgBHWKMRiGnsXJELRBjviQpKyigfrXtKW27KJ,0,0,0,1,0,0.0,0.0,0.0,,1,
gangtCrQg5RmKf5yxvhvZThPugPX58pDSdQ5UuS26vN,0,0,0,2,0,0.0,0.0,0.0,,2,
forb5u56XgvzxiKfRt4FVNFQKJrd2LWAfNCsCqL6P7q,0,0,1,1,0,0.0,0.0,0.0,,2,
7pR7t5axFfkg2VZB1uAuFNUvpAeowq2v15J4gw5MmHTB,0,0,0,1,0,0.0,0.0,0.0,,1,
7ZjHeeYEesmBs4N6aDvCQimKdtJX2bs5boXpJmpG2bZJ,0,0,0,1,0,0.0,0.0,0.0,,1,
8GLRbAstsabZuZUx73AoyfGi1FRCWSUhRgMugFyofEz7,0,0,0,3,0,0.0,0.0,0.0,,3,
7tqeaFKsg2K9xKnQWe61w71AtCZVMQvG4hbFAiFAngYw,0,0,0,3,0,0.0,0.0,0.0,,3,
8AkVj5aAtJ27tYXeq89cnSf68V43NarFHMx2iSDjZv7c,0,0,0,1,0,0.0,0.0,0.0,,1,
BCeczqpTRPigndHVJu1KEzno1Uhb4hjrE7ttmAndrV1p,0,0,0,1,0,0.0,0.0,0.0,,1,
GEM1N1UE3C8BB8EaaEPrcFvT3iLMVrurknjW5AYjUReR,0,0,0,1,0,0.0,0.0,0.0,,1,
BLUEHGDihXD9CqqC5XFSQzDC3aS5jASohb2BAsXaJokR,0,0,0,1,0,0.0,0.0,0.0,,1,
BSGMRbK97DcgLe4u4kfNQnmTVZGVnwdtKQBJqWRBTZxU,0,0,0,1,0,0.0,0.0,0.0,,1,
G2TBEh2ahNGS9tGnuBNyDduNjyfUtGhMcssgRb8b6KfH,0,0,0,4,0,0.0,0.0,0.0,,4,
G1bLKfyNm7zsmmYEL9dyxBvMtxpFcwy2s84bHDj2ZFUY,0,0,0,2,0,0.0,0.0,0.0,,2,
FjYEr2UCeFzNfAKiFrbhG34Zv8LxbmfHYAFhAfc7SLQL,0,0,0,1,0,0.0,0.0,0.0,,1,
BitokuDHQiAhpUKrwx1VssAAoW5Rst8zB6gpfoaxM3Kh,0,0,1,0,0,0.0,0.0,0.0,,1,
Fc6NNdS2j3EmrWbU6Uqt6wsKB5ef72NjaWfNxKYbULGD,0,0,0,1,0,0.0,0.0,0.0,,1,
FbYX2uN573G5WsgiPdHU6fS5PNUyjdXfGfpZNkYUuT4k,0,0,0,3,0,0.0,0.0,0.0,,3,
BuoZ7q6faiJNTN24r7Kcj8dp96axs5XPEKXmWGsh2pDE,0,0,0,1,0,0.0,0.0,0.0,,1,
BxkAkLR2W3agWtjMXBNvhxmB8vsn7zhjNQcyfost99KY,0,0,0,1,0,0.0,0.0,0.0,,1,
By8MseMKtZQQaQjMHJiyetmc5AC8RZZv8C2ss33ktrHt,0,0,0,1,0,0.0,0.0,0.0,,1,
FSyAsxcE7g8pSSEu5nx7Hkz44rMZiYio5Wz8Lszh3Nbi,0,0,0,1,0,0.0,0.0,0.0,,1,
CLsFr1KZVbAyz16iFpwg2e4hiekR1unpwyxfNdjBMaoE,0,0,0,1,0,0.0,0.0,0.0,,1,
CVvaeDPR2o7P1eawG5c9TPFLzSXAewwPovPmREaEL4Cm,0,0,0,1,0,0.0,0.0,0.0,,1,
2AKKnirWVZMhnzuwqpizw9SwfZjGpRFLx2zCCNtPWpbc,0,0,0,1,0,0.0,0.0,0.0,,1,
CaveyttUBTKttncu1e4RF814XjuoGfYv8cEsiKGDNCPX,0,0,0,3,0,0.0,0.0,0.0,,3,
CkCMabrc3HgBgDkeKPXkbWuQpUuSqW7zs1Mg3HFArx61,0,0,0,2,0,0.0,0.0,0.0,,2,
Crg1X8FftV44NmwfFvgREjanBQmyyS7NEu6duLU7Cyy6,0,0,0,1,0,0.0,0.0,0.0,,1,
EfPYQ4BUMiKa6736qqrtnCBGkUSRDGSr1WvtyUgWHuyp,0,0,0,2,0,0.0,0.0,0.0,,2,
D3htsc6iRQJLqCNWcC2xcZgUuvcd1JT8zoYNqraNcTQz,0,0,0,3,0,0.0,0.0,0.0,,3,
DEU4agzdUCA5oZ1QSLxCyZb1smvdu5j1NXXsK2r823Uu,0,0,0,1,0,0.0,0.0,0.0,,1,
DP9iBgK9c7tJYb83KhxQMFNc1LXYu7nE7EhWpEzQnjmg,0,0,0,2,0,0.0,0.0,0.0,,2,
DZKTNGR3r4Akj3G42ReZatKhkmgEXoZjk5Ed2tFwRyqm,0,0,0,1,0,0.0,0.0,0.0,,1,
As9NxA9bCfhrVLAFyGeWG5X5iLYPGhU3R7nLfX3tN6am,0,0,0,1,0,0.0,0.0,0.0,,1,
AqyRvpjjSN6jWYPxijoJwhmKwJFk6fRYDh9fQZHcJ2o7,0,0,1,1,0,0.0,0.0,0.0,,2,
AiDoLWFKzNxSXKeZ4zym2TEPkg6F4kQ3YBA8WhANVPEq,0,0,0,1,0,0.0,0.0,0.0,,1,
8uPW9msN75rfaKiwy8y8NxEX5zSk2WejtVv5YhZr3jCo,0,0,0,1,0,0.0,0.0,0.0,,1,
NdMV1C3XMCRqSBwBtNmoUNnKctYh95Ug4xb6FSTcAWr,0,0,0,1,0,0.0,0.0,0.0,,1,
EBoKqyT2kCabcHXgpF7ScwrHgGUsR821xkTJsHtP2JJi,0,0,0,3,0,0.0,0.0,0.0,,3,
Mwz8VgAEnPtfqS62r3ixrFiMJwnNfEwR141CGnsTo5k,0,0,0,1,0,0.0,0.0,0.0,,1,
MutT1jxCXbRWJXpXoJK259gLrNfzDezdxS3BSkQAmv1,0,0,0,1,0,0.0,0.0,0.0,,1,
8T8AJfUCXwPFwEMmjca8gCRSktPrqbUBVa6ggNyhLhFJ,0,0,0,1,0,0.0,0.0,0.0,,1,
Lake8NXDThihebhxS3Js7mFnj9fthmus93zEdsFNrsL,0,0,0,1,0,0.0,0.0,0.0,,1,
LTP1bMnfq1Z6UctyDXYHo9qcUJ6ReXm9cG2VwQcsHBt,0,0,0,1,0,0.0,0.0,0.0,,1,
8cnksBVjDPspn3AvmxJd8JKUdh4uWDDXzDemPmDctaHi,0,0,0,1,0,0.0,0.0,0.0,,1,
8nbE53mcKhy74HLiGZ1q5HRocwiCvgh49csSaHSdtukr,0,0,1,0,0,0.0,0.0,0.0,,1,
J6etcxDdYjPHrtyvDXrbCkx3q9W1UjMj1vy1jBFPJEbK,0,0,0,3,0,0.0,0.0,0.0,,3,
8pyp3vfVPRziYdAYEyqkwytdBbdVbQmHqfQAVDcRV3w,0,0,0,3,0,0.0,0.0,0.0,,3,
9PRr9k87HjjdLMRkxtxygidjxVta9VQ1kAsqgLBWXKdQ,0,0,0,1,0,0.0,0.0,0.0,,1,
ANC1u9sY36q3mi2MyVhtz71un8yLgTsFBUuyLcSPzKsk,0,0,0,1,0,0.0,0.0,0.0,,1,
HgozywotiKv4F5g3jCgideF3gh9sdD3vz4QtgXKjWCtB,0,0,0,1,0,0.0,0.0,0.0,,1,
HcZvwZ83PfjrQDiq3GLHxisTs17aGURs6bJ2LwtmL4qv,0,0,0,1,0,0.0,0.0,0.0,,1,
9Wmaz9VPpEnH67ZqrvYd9bcH66DtsGaEKcSQE1ac5wkf,0,0,0,1,0,0.0,0.0,0.0,,1,
9iFPQbP1jGkj67sXg6YLLGRUBVEDMcapdS6jmCZSnz8R,0,0,2,1,0,0.0,0.0,0.0,,2,
9q16BB7WGmBxf1nJTdxH5zPnBUhtHqdqXqRFjSjuM4k7,0,0,0,2,0,0.0,0.0,0.0,,2,
9r2CsyjRTmTRtu8GFk5oJRSQr5YfSENxDkf3eox8iPLa,0,0,0,1,0,0.0,0.0,0.0,,1,
A23LfQn6khffj2hGhGfXr6P52W2pxrVcCaHVQLYQgiX2,0,0,0,1,0,0.0,0.0,0.0,,1,
A9mvukTd77EbRoBX4ydSCFQHdu5bsRFkNXTTRstA8FAC,0,0,0,2,0,0.0,0.0,0.0,,2,
H9METtoxNp2PhcDNxXwqpzBarJw9zJezhzdDEFgBqv8w,0,0,0,1,0,0.0,0.0,0.0,,1,
AEHqTB2RtJjegsR2ePjvoJSm6AA5pnYKWVbcsn6kqTBD,0,0,0,3,0,0.0,0.0,0.0,,3,
AMukCLCr52XxsEjXoDxKKxjNg4FpnsReXNaQx8aR6DJF,0,0,0,2,0,0.0,0.0,0.0,,2,
yJeahQNRHNWtL9Z1SqPX3SBwTYXr5ECMYYVK4uYVwxt,0,0,0,1,0,0.0,0.0,0.0,,1,
