signer,total_trades,trades_per_hour,aggregator_likelihood,late_slot_ratio,oracle_backrun_ratio,high_bytes_ratio,cluster_ratio,mev_score,wash_trading_score,classification,binary_label,validators,total_validators,pools,total_pools,sandwich_complete,front_running,back_running,total_attacks,cost_sol,profit_sol,net_profit_sol
3mhCqKA8GZX9iS9FBzZXFexUKnZXWJUTRst4GFXLARcF,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,8GLRbAstsabZuZUx73AoyfGi1FRCWSUhRgMugFyofEz7,1,"GoonFi,HumidiFi",2,1,0,2,3,0.002,0.014,0.012
62kW7reD5BUyWiKbbctNWrcUrp2NFPtBin1xUXPNPxsX,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,8GLRbAstsabZuZUx73AoyfGi1FRCWSUhRgMugFyofEz7,1,"HumidiFi,GoonFi",2,1,0,2,3,0.002,0.014,0.012
DaYFyW6F6GgWqSuMTLjooXVGMocKpumfqbk7V3AzCjYe,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,8GLRbAstsabZuZUx73AoyfGi1FRCWSUhRgMugFyofEz7,1,"HumidiFi,GoonFi",2,1,0,2,3,0.002,0.014,0.012
Boz41hmwVEMFfk7e4rW3EGi9q28W8jve6GqZdNc1WQss,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,8GLRbAstsabZuZUx73AoyfGi1FRCWSUhRgMugFyofEz7,1,"GoonFi,HumidiFi",2,1,0,2,3,0.002,0.014,0.012
EwvXt62ek9mqbWwsV8VcRrQa7tstCdSTWJT13Fmdpccn,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,8GLRbAstsabZuZUx73AoyfGi1FRCWSUhRgMugFyofEz7,1,"HumidiFi,GoonFi",2,1,0,2,3,0.002,0.014,0.012
6KE1gyNbHpQSHnNHBVcG6brKC3Ze6CmzZLQ7RaUvGbXE,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,1,"HumidiFi,GoonFi",2,1,0,2,3,0.002,0.014,0.012
LAbEPYnUcAqLEw2wq3X2XEeZQMDuMvr9LFxSQ3CsMGZ,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,1,"GoonFi,HumidiFi",2,1,0,2,3,0.002,0.014,0.012
9FUiFnMNsub1XBJ9XDyE6VTxti3zJ6DH3kTLuxeFVfR6,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,DNVZMSqeRH18Xa4MCTrb1MndNf3Npg4MEwqswo23eWkf,1,"GoonFi,HumidiFi",2,1,0,2,3,0.002,0.014,0.012
FBjWvRp1naYQMcQ8AHynegna7DaffopjUg6Gw2XdkRzw,3,12.241261666035712,0.5,0.6666666666666666,1.0,0.0,0.5,0.6,17.487516665765305,LIKELY MEV BOT,1,"Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4",2,GoonFi,1,0,1,3,4,0.002,0.008,0.006
3Ay6hEEJCvSoHZT2TcF6rBn3hZr3UuYcpMdntV4U7fdy,2,6.968479245545981,0.5,0.5,1.0,1.0,0.0,0.6499999999999999,9.291305660727977,LIKELY MEV BOT,1,"DUND26mEDfFeaPsVof3YvbXDRvpuQX7HMUJrLgEWzYw4,FbYX2uN573G5WsgiPdHU6fS5PNUyjdXfGfpZNkYUuT4k",2,ZeroFi,1,0,0,2,2,0.001,0.004,0.003
